ID,APPLICATION_DATE,STATUS,MOTIVE,INTEREST_RATE,AMOUNT,CAT,TXN,CP,DELIVERY_SCORE
1,12:59:50 AM,RESPONSE,,,,,,,
1,12:46:41 AM,RISK,,,,,,,
1,12:14:50 AM,APPROVED,DIGITAL,40,1300,49,,,
1,12:08:23 AM,,,,,,434.1120658,,
2,12:00:00 AM,,,,,,,,
3,12:00:00 AM,,,,,,,,
4,12:01:07 AM,RESPONSE,,,,,,,
4,12:27:51 AM,RISK,,,,,,,
4,12:49:54 AM,APPROVED,PLASTIC,32,10000,39,,,
4,12:00:53 AM,DELIVERED,,,,,,11560,3
4,12:25:47 AM,,,,,,360.5041733,,
4,12:22:22 AM,,,,,,175.0617647,,
4,12:44:53 AM,,,,,,3719.618354,,
4,12:53:04 AM,,,,,,1171.027491,,
5,12:59:28 AM,RESPONSE,,,,,,,
5,12:53:05 AM,RISK,,,,,,,
5,12:27:31 AM,APPROVED,PLASTIC,46,15900,48,,,
5,12:08:11 AM,DELIVERED,,,,,,53100,0
7,12:37:25 AM,RESPONSE,,,,,,,
7,12:46:36 AM,RISK,,,,,,,
7,12:21:42 AM,REJECTED,USAGE,,,,,,
8,12:09:03 AM,RESPONSE,,,,,,,
8,12:51:50 AM,RISK,,,,,,,
8,12:44:07 AM,APPROVED,PLASTIC,40,3300,42,,,
8,12:04:53 AM,DELIVERED,,,,,,11560,2
10,12:00:00 AM,,,,,,,,
11,12:20:15 AM,RESPONSE,,,,,,,
11,12:26:20 AM,RISK,,,,,,,
11,12:00:24 AM,APPROVED,PLASTIC,32,49800,32,,,
11,12:55:01 AM,DELIVERED,,,,,,64000,0
11,12:42:49 AM,,,,,,2201.975645,,
11,12:11:22 AM,,,,,,401.9173359,,
11,12:36:26 AM,,,,,,45.01147306,,
11,12:53:35 AM,,,,,,2691.108286,,
11,12:41:01 AM,,,,,,911.9787299,,
12,12:00:00 AM,,,,,,,,
14,12:03:53 AM,RESPONSE,,,,,,,
14,12:05:07 AM,RISK,,,,,,,
14,12:32:11 AM,APPROVED,PLASTIC,31,2700,46,,,
14,12:17:30 AM,DELIVERED,,,,,,11560,4
15,12:18:54 AM,RESPONSE,,,,,,,
15,12:29:50 AM,RISK,,,,,,,
15,12:49:12 AM,REJECTED,USAGE,,,,,,
16,12:36:41 AM,RESPONSE,,,,,,,
16,12:36:23 AM,RISK,,,,,,,
16,12:09:26 AM,APPROVED,PLASTIC,38,10700,44,,,
16,12:37:42 AM,DELIVERED,,,,,,11560,2
17,12:52:10 AM,RESPONSE,,,,,,,
17,12:48:24 AM,RISK,,,,,,,
17,12:33:54 AM,APPROVED,PLASTIC,48,6600,48,,,
17,12:23:59 AM,DELIVERED,,,,,,44620,3
17,12:16:45 AM,,,,,,28.17714529,,
17,12:51:42 AM,,,,,,123.8627528,,
18,12:04:06 AM,RESPONSE,,,,,,,
18,12:23:48 AM,RISK,,,,,,,
18,12:58:54 AM,APPROVED,PLASTIC,36,16300,48,,,
18,12:01:41 AM,DELIVERED,,,,,,53100,2
18,12:35:35 AM,,,,,,1131.122678,,
19,12:10:59 AM,RESPONSE,,,,,,,
19,12:08:59 AM,RISK,,,,,,,
19,12:22:12 AM,APPROVED,PLASTIC,38,21200,35,,,
19,12:03:32 AM,DELIVERED,,,,,,11560,0
20,12:20:08 AM,RESPONSE,,,,,,,
20,12:12:19 AM,RISK,,,,,,,
20,12:45:57 AM,APPROVED,PLASTIC,32,56200,48,,,
20,12:13:47 AM,DELIVERED,,,,,,44100,2
20,12:40:01 AM,,,,,,18.24583376,,
20,12:25:19 AM,,,,,,261.9489261,,
22,12:44:04 AM,RESPONSE,,,,,,,
22,12:27:23 AM,RISK,,,,,,,
22,12:08:17 AM,REJECTED,USAGE,,,,,,
23,12:07:12 AM,RESPONSE,,,,,,,
23,12:42:38 AM,RISK,,,,,,,
23,12:43:55 AM,REJECTED,MOP,,,,,,
24,12:20:53 AM,RESPONSE,,,,,,,
24,12:47:07 AM,RISK,,,,,,,
24,12:09:13 AM,REJECTED,INCOME,,,,,,
26,12:48:12 AM,RESPONSE,,,,,,,
26,12:58:58 AM,RISK,,,,,,,
26,12:02:56 AM,APPROVED,PLASTIC,36,14900,47,,,
26,12:13:57 AM,DELIVERED,,,,,,44100,3
27,12:24:42 AM,RESPONSE,,,,,,,
27,12:13:54 AM,RISK,,,,,,,
27,12:49:45 AM,REJECTED,INCOME,,,,,,
28,12:11:38 AM,RESPONSE,,,,,,,
28,12:02:30 AM,RISK,,,,,,,
28,12:46:16 AM,APPROVED,PLASTIC,46,14900,37,,,
28,12:55:25 AM,DELIVERED,,,,,,11560,4
28,12:12:44 AM,,,,,,107.4273583,,
28,12:01:37 AM,,,,,,288.9045753,,
29,12:28:48 AM,RESPONSE,,,,,,,
29,12:01:32 AM,RISK,,,,,,,
29,12:51:44 AM,APPROVED,PLASTIC,42,51600,42,,,
29,12:33:35 AM,DELIVERED,,,,,,11560,2
